date_key,date,year,month,quarter,day_of_week,week_of_year,year_month
20200314,2020-03-14,2020,3,1,5,11,2020-03
20200315,2020-03-15,2020,3,1,6,11,2020-03
20200316,2020-03-16,2020,3,1,0,12,2020-03
20200317,2020-03-17,2020,3,1,1,12,2020-03
20200318,2020-03-18,2020,3,1,2,12,2020-03
20200319,2020-03-19,2020,3,1,3,12,2020-03
20200320,2020-03-20,2020,3,1,4,12,2020-03
20200321,2020-03-21,2020,3,1,5,12,2020-03
20200322,2020-03-22,2020,3,1,6,12,2020-03
20200323,2020-03-23,2020,3,1,0,13,2020-03
20200324,2020-03-24,2020,3,1,1,13,2020-03
20200325,2020-03-25,2020,3,1,2,13,2020-03
20200326,2020-03-26,2020,3,1,3,13,2020-03
20200327,2020-03-27,2020,3,1,4,13,2020-03
20200328,2020-03-28,2020,3,1,5,13,2020-03
20200329,2020-03-29,2020,3,1,6,13,2020-03
20200330,2020-03-30,2020,3,1,0,14,2020-03
20200331,2020-03-31,2020,3,1,1,14,2020-03
20200401,2020-04-01,2020,4,2,2,14,2020-04
20200402,2020-04-02,2020,4,2,3,14,2020-04
20200403,2020-04-03,2020,4,2,4,14,2020-04
20200404,2020-04-04,2020,4,2,5,14,2020-04
20200405,2020-04-05,2020,4,2,6,14,2020-04
20200406,2020-04-06,2020,4,2,0,15,2020-04
20200407,2020-04-07,2020,4,2,1,15,2020-04
20200408,2020-04-08,2020,4,2,2,15,2020-04
20200409,2020-04-09,2020,4,2,3,15,2020-04
20200410,2020-04-10,2020,4,2,4,15,2020-04
20200411,2020-04-11,2020,4,2,5,15,2020-04
20200412,2020-04-12,2020,4,2,6,15,2020-04
20200413,2020-04-13,2020,4,2,0,16,2020-04
20200414,2020-04-14,2020,4,2,1,16,2020-04
20200415,2020-04-15,2020,4,2,2,16,2020-04
20200416,2020-04-16,2020,4,2,3,16,2020-04
20200417,2020-04-17,2020,4,2,4,16,2020-04
20200418,2020-04-18,2020,4,2,5,16,2020-04
20200419,2020-04-19,2020,4,2,6,16,2020-04
20200420,2020-04-20,2020,4,2,0,17,2020-04
20200421,2020-04-21,2020,4,2,1,17,2020-04
20200422,2020-04-22,2020,4,2,2,17,2020-04
20200423,2020-04-23,2020,4,2,3,17,2020-04
20200424,2020-04-24,2020,4,2,4,17,2020-04
20200425,2020-04-25,2020,4,2,5,17,2020-04
20200426,2020-04-26,2020,4,2,6,17,2020-04
20200427,2020-04-27,2020,4,2,0,18,2020-04
20200428,2020-04-28,2020,4,2,1,18,2020-04
20200429,2020-04-29,2020,4,2,2,18,2020-04
20200430,2020-04-30,2020,4,2,3,18,2020-04
20200501,2020-05-01,2020,5,2,4,18,2020-05
20200502,2020-05-02,2020,5,2,5,18,2020-05
20200503,2020-05-03,2020,5,2,6,18,2020-05
20200504,2020-05-04,2020,5,2,0,19,2020-05
20200505,2020-05-05,2020,5,2,1,19,2020-05
20200506,2020-05-06,2020,5,2,2,19,2020-05
20200507,2020-05-07,2020,5,2,3,19,2020-05
20200508,2020-05-08,2020,5,2,4,19,2020-05
20200509,2020-05-09,2020,5,2,5,19,2020-05
20200510,2020-05-10,2020,5,2,6,19,2020-05
20200511,2020-05-11,2020,5,2,0,20,2020-05
20200512,2020-05-12,2020,5,2,1,20,2020-05
20200513,2020-05-13,2020,5,2,2,20,2020-05
20200514,2020-05-14,2020,5,2,3,20,2020-05
20200515,2020-05-15,2020,5,2,4,20,2020-05
20200516,2020-05-16,2020,5,2,5,20,2020-05
20200517,2020-05-17,2020,5,2,6,20,2020-05
20200518,2020-05-18,2020,5,2,0,21,2020-05
20200519,2020-05-19,2020,5,2,1,21,2020-05
20200520,2020-05-20,2020,5,2,2,21,2020-05
20200521,2020-05-21,2020,5,2,3,21,2020-05
20200522,2020-05-22,2020,5,2,4,21,2020-05
20200523,2020-05-23,2020,5,2,5,21,2020-05
20200524,2020-05-24,2020,5,2,6,21,2020-05
20200525,2020-05-25,2020,5,2,0,22,2020-05
20200526,2020-05-26,2020,5,2,1,22,2020-05
